closing_month,project,obligated_person,sponsor,sponsor_domain,entity_type,sector,bonds_likely_outstanding,new_issuance_2025_2026,source_url,notes
May-2022,Overland Crossing,unknown,unknown,unknown,unknown,other,unknown,unknown,https://www.paceproperties.com/property/overland-crossing-1528,"Address matches Whole Foods-anchored RETAIL center at 119th & Metcalf (SWC), Overland Park KS - housing guess not supported; Phoenix IDA board approved Dec 2021; borrower not found in public sources"
Apr-2022,Harmony at the Park II,unknown,"Gorman & Company (lead developer, City of Phoenix Choice Neighborhoods / Edison-Eastlake)",gormanusa.com,private_for_profit,housing_affordable,unknown,Y,https://phoenixida.com/2022/07/25/healthcare-housing-and-redevelopment-project-news/,"~115 affordable units; NEW: Phoenix IDA TEFRA 6/6/2025 NTE $35M for Horizon on Villa LLC (109 units, 500 N 20th St) https://phoenixida.com/wp-content/uploads/2025/05/PHX-IDA-Horizon-on-Villa-2025-Gorman-TEFRA-Notice.pdf; Girasol (phase 4) broke ground Nov 2024"
Sep-2021,Chicanos Por La Causa (CPLC) Phoenix Memorial Redevelopment Project,unknown,Chicanos Por La Causa (CPLC),cplc.org,nonprofit_501c3,other,unknown,unknown,https://phoenixida.com/bond-financing-process/bond-transactions/,$42M for redevelopment of former Phoenix Memorial Hospital campus (1201/1301 S 7th Ave + 515 W Buckeye); use not confirmed as housing; same sponsor as Pueblo Apartments (Jul-2023)
Jun-2021,Mesquite Terrace,"Mesquite Terrace Apartments, LLC","Housing for Hope, Inc. (Catholic Charities Community Services affiliate); co-developer Trinity Housing Development (Springfield MO)",housingforhopeaz.org,nonprofit_501c3,housing_affordable,Y,Y,https://phoenixida.com/wp-content/uploads/2025/01/Phx-IDA-Mesquite-Terrace-2025-Reissuance-TEFRA-Notice.pdf,297 units opened 2024; Phoenix IDA TEFRA 1/21/2025 for REISSUANCE of NTE $48M notes = 2025 issuance event; co-developer domain trinityhousingdevelopment.com; Acacia Heights III (2026) used LIHTC/ARPA not bonds
Nov-2020,Soluna II,unknown,Gorman & Company (Choice Neighborhoods w/ City of Phoenix Housing Dept),gormanusa.com,private_for_profit,housing_affordable,unknown,Y,https://www.gormanusa.com/choice-neighborhoods-opened-soluna-apartments-in-phoenix-az/,Soluna = 177-unit mixed-income (80% affordable) at 19th St & Roosevelt; same sponsor as Harmony at the Park II; see Horizon on Villa 2025 TEFRA
Oct-2019,Goodwill of Central and Northern Arizona,Goodwill of Central and Northern Arizona (multiple locations),Goodwill of Central and Northern Arizona,goodwillaz.org,nonprofit_501c3,other,unknown,unknown,https://phoenixida.com/bond-financing-process/bond-transactions/,$18M multiple locations; repeat Phoenix IDA borrower (May-2024 x2 via SLB affiliates)
Jul-2017,Broadway Terrace Apartments,unknown,"Rebuild America, Inc. (managed by Mansermar)",rebuildamericainc.com,unknown,housing_affordable,unknown,unknown,https://www.rebuildamericainc.com/properties-1/broadway-terrace,"101-unit senior (62+) high-rise, project-based Section 8, acq/rehab 2017 w/ $5.5M LIHTC, $19M TDC; Rebuild America entity type not verified"
Jun-2017,La Palmilla Apartments,unknown (tax credit LP sponsored by Reliant Group Management),"Reliant Group Management, LLC (San Francisco)",reliantgroup.com,private_for_profit,housing_affordable,unknown,unknown,https://rainbowhousing.org/rainbow-housing-blog/reliant-group-management-llc-selects-rainbow-housing-service-provider-affordable-community-arizona,267 units bought Apr 2017 from Syl-Mar LP for $14.1M using Phoenix IDA bonds + ADOH LIHTC; now managed by Reliant Property Mgmt
Oct-2016,3rd and Indian School Assisted Living Project,"3rd and Indian School Assisted Living Facility, LLC",Solterra Senior Living (BridgeWater Assisted Living Midtown; ops entity Solterra 3rd Indian School Operations LLC),solterraseniorliving.com,private_for_profit,housing_senior_assisted,unknown,unknown,https://phoenixida.com/2017/06/01/solterra-senior-living-to-build-three-low-income-assisted-living-projects-totaling-66m/,132-room 7-story low-income assisted living w/ unnamed East Coast LIHTC partner; 2025 online reviews allege Solterra payroll/vendor payment struggles (unverified)
Aug-2016,Deer Valley Veterans Assisted Living Project,unknown (developer entity J-Bar Cos. per Phoenix IDA),Solterra Senior Living (BridgeWater Assisted Living Deer Valley),solterraseniorliving.com,private_for_profit,housing_senior_assisted,unknown,unknown,https://phoenixida.com/2017/06/01/solterra-senior-living-to-build-three-low-income-assisted-living-projects-totaling-66m/,"166-room conversion of former Comfort Inn, opened Jun 2017, $17M; same sponsor as Oct-2016 row and operator of Yuma row"
Mar-2015,Girl Scouts-Arizona Cactus-Pine Council,"Girl Scouts-Arizona Cactus-Pine Council, Inc.",Girl Scouts-Arizona Cactus-Pine Council,girlscoutsaz.org,nonprofit_501c3,other,unknown,unknown,https://hmapr.com/client-news/girl-scouts-arizona-cactus-pine-council-opens-bob-renee-parsons-leadership-center-girls-women-camp-south-mountain/,"$18M Bob & Renee Parsons Leadership Center at Camp South Mountain (opened 2017), $5M Parsons gift"
Nov-2014,Veterans Assisted Living Yuma,"Family Housing Resources-Yuma ALF, LLC","Family Housing Resources, Inc. (Tucson nonprofit); developer MMG Medical Management Group; operator Solterra Senior Living",fhrtucson.org,nonprofit_501c3,housing_senior_assisted,unknown,unknown,https://phoenixida.com/2015/11/03/new-151-unit-yuma-veterans-facility/,Former Clarion Suites converted to ~151-160 unit veteran-preference assisted living; opened Nov 2015
Aug-2014,Hill N Dell Apartments,"DHI Hill N Dell Apartments, LLC","unknown (DHI not resolved; managed by Biltmore Properties, Inc.; now branded Phoenix Landing)",unknown,unknown,housing_affordable,unknown,unknown,https://housing.az.gov/phoenix-landing,140-unit HUD-subsidized family property; owner LLC found but parent sponsor not identified
Jul-2013,Paradise Shadows Apartments,unknown,The Hampstead Group / The Hampstead Companies (syndicator R4 Capital); now managed by Fairstead,hampstead.com,private_for_profit,housing_affordable,unknown,unknown,https://www.taxcreditcoalition.org/gallery/paradise-shadows/,67-unit HUD HAP preservation (4% credits + PAB) 2013; Fairstead email on current listings suggests later ownership change (not verified)
Apr-2013,"Vieste SPE, LLC","Vieste SPE, LLC","Vieste Energy, LLC (Indianapolis) - Glendale landfill materials recovery / waste-to-energy",unknown,private_for_profit,industrial,unknown,unknown,https://www.courtlistener.com/opinion/10273558/crossfirst-bank-v-vieste-spe-llc/,Solid waste disposal revenue bonds; MRF completed 2014 but never reached commercial operations; bondholders lost investment; Crossfirst Bank v. Vieste SPE (D. Ariz. 2018) - DO NOT PROSPECT
Jan-2013,Republic Services,"Republic Services, Inc.","Republic Services, Inc. (NYSE: RSG)",republicservices.com,private_for_profit,industrial,unknown,Y,https://www.sec.gov/Archives/edgar/data/0001060391/000106039126000275/rsg-20260630.htm,$1.4B tax-exempt financings outstanding at 6/30/2026; NEW: Mar 2026 $100M CMFA solid waste bonds; publicly traded - not a conduit-advisory prospect
Dec-2011,Marcos de Niza Apartments,unknown,City of Phoenix Housing Department (owner; managed by Dunlap & Magee),phoenix.gov,municipal_or_public,housing_affordable,unknown,unknown,https://www.phoenix.gov/content/dam/phoenix/housingsite/documents/choiceneigh/cn_mdn_fact_sheet.pdf,City-owned public housing between Central & 7th Ave; MUNICIPAL - exclude
Mar-2010,Dunn-Edwards Corporation,Dunn-Edwards Corporation,Dunn-Edwards Corporation (Nippon Paint subsidiary since 2017),dunnedwards.com,private_for_profit,industrial,unknown,unknown,https://phoenixida.com/2011/06/13/phoenix-ida-helps-fund-worlds-first-leed-certified-paint-manufactuing-facility/,336k sf LEED paint plant opened Jun 2011; second Phoenix IDA deal $22.5M Dec 2010
Jan-2010,W.L. Gore & Associates,"W. L. Gore & Associates, Inc.","W. L. Gore & Associates, Inc.",gore.com,private_for_profit,industrial,unknown,unknown,https://www.flinn.org/gores-100m-north-phoenix-medical-campus-to-be-completed-in-winter-2011/,$30M recovery zone facility bonds for $100M medical products campus; second $19M Phoenix IDA deal Dec 2010
Mar-2009,ACCEL,ACCEL (Arizona Centers for Comprehensive Education and Life Skills),ACCEL,accel.org,nonprofit_501c3,other,unknown,unknown,https://www.guidestar.org/profile/95-3497070,Private nonprofit special-needs school/adult services; $3.2M
